view_cnt,where_cnt,attend_cnt,volunteer_cnt,history_cnt,festival_cnt,standard,block,expense,expense_f,difficulty,intention,history,history_f,festival,festival_f,sex,age,education,married,work,income,sido,disabled
49,0,0,0,5,0,1,1,14,14,3,2,1,6,2,6,2,5,3,1,5,3,1,1
3,3,3,0,1,0,2,6,14,9,1,1,1,7,2,7,2,5,3,2,5,7,1,1
6,0,0,0,0,0,2,1,8,15,1,1,2,4,2,4,1,2,3,1,5,6,1,1
22,12,2,0,0,0,1,2,14,14,4,2,2,4,2,5,2,4,4,2,5,5,1,1
16,3,2,0,2,0,2,1,14,14,4,1,1,5,2,4,2,3,4,1,1,3,1,1
8,0,0,0,0,2,2,1,14,12,1,2,2,6,1,4,1,4,4,2,1,4,1,1
22,15,0,0,0,0,2,2,14,14,5,2,2,4,2,5,2,5,4,3,1,5,1,1
10,0,0,0,2,2,2,4,17,11,2,2,1,6,1,6,1,5,4,2,1,6,1,1
12,3,3,0,2,2,1,1,14,12,2,1,1,5,1,5,2,4,4,2,5,4,1,1
7,0,0,0,0,0,3,2,15,12,2,1,2,5,2,5,2,5,3,2,1,5,1,1
8,0,0,0,0,2,6,2,14,14,2,2,2,5,1,5,1,3,4,1,1,6,1,1
9,3,3,0,0,0,1,1,1,13,2,1,2,6,2,5,1,6,3,3,1,4,1,1
16,10,1,0,0,0,3,2,14,14,2,2,2,3,2,4,1,4,4,2,1,5,1,1
9,0,0,0,0,0,4,1,7,10,2,2,2,6,2,6,1,5,4,2,1,5,1,1
7,2,2,0,0,0,2,2,14,14,1,2,2,4,2,5,2,5,3,2,3,5,1,1
32,2,2,0,4,2,1,1,14,8,3,1,1,7,1,7,1,5,4,2,1,7,1,1
8,2,5,0,2,0,1,3,14,14,1,1,1,5,2,5,2,5,4,3,2,4,1,1
17,3,2,0,1,0,1,1,14,14,2,1,1,5,2,5,1,2,4,1,1,3,1,1
13,13,8,0,2,3,1,1,14,15,1,1,1,7,1,7,2,3,3,2,1,5,1,1
9,8,8,0,0,0,2,1,12,12,1,1,2,4,2,4,1,3,4,1,1,5,1,1
17,3,2,0,2,0,7,2,14,14,2,1,1,5,2,5,2,2,4,1,1,7,1,1
7,5,0,0,2,0,1,2,17,10,2,1,1,6,2,3,1,4,4,2,1,7,1,1
7,11,3,0,1,3,5,6,14,1,1,1,1,3,1,6,2,4,3,2,5,5,1,1
15,1,1,0,0,0,2,1,14,14,1,2,2,3,2,4,1,2,3,1,1,3,1,1
66,0,0,0,2,0,2,1,14,1,1,1,1,7,2,7,2,2,4,1,1,7,1,1
49,0,0,0,2,2,2,1,14,1,6,1,1,7,1,7,2,4,4,2,1,7,1,1
18,3,2,0,0,2,2,1,14,14,1,1,2,3,1,6,1,2,4,1,1,7,1,1
11,0,0,0,0,0,1,1,12,12,5,2,2,4,2,4,1,2,4,2,1,3,1,1
14,3,1,0,0,2,8,8,14,1,1,1,2,4,1,5,1,4,4,2,1,6,1,2
9,3,0,3,1,1,1,6,14,14,3,1,1,7,1,7,2,3,4,2,5,4,1,1
14,8,4,0,4,3,4,1,10,16,8,1,1,6,1,6,2,4,4,2,5,6,1,1
13,12,1,0,3,1,6,6,14,11,3,1,1,6,1,3,2,3,3,2,1,5,1,1
13,12,1,0,3,1,6,6,14,11,3,1,1,6,1,3,2,3,3,2,1,5,1,1
15,13,0,0,0,0,1,1,14,12,1,1,2,3,2,3,2,2,4,1,5,5,1,1
7,3,1,2,5,0,3,8,2,9,5,1,1,7,2,1,2,4,4,2,2,5,1,1
32,20,0,0,0,0,2,2,14,14,2,2,2,5,2,5,2,5,3,2,5,4,1,1
38,13,0,0,2,1,9,1,7,5,1,1,1,7,1,6,1,2,4,1,1,3,1,1
12,0,0,0,0,0,5,2,17,8,7,1,2,7,2,7,2,4,4,3,1,4,1,1
17,10,10,0,0,1,3,1,14,14,1,2,2,5,1,5,1,3,4,2,1,4,1,1
12,10,10,0,0,0,1,2,14,14,4,2,2,5,2,4,1,5,4,2,1,5,1,1
15,23,3,0,0,0,1,2,14,14,6,1,2,6,2,6,1,1,3,1,5,5,1,1
26,14,0,0,0,0,3,2,14,14,6,2,2,6,2,6,2,4,4,2,5,4,1,1
12,0,0,0,2,0,2,2,14,14,2,1,1,6,2,6,1,6,3,2,1,4,1,1
39,22,0,0,0,3,3,2,14,14,6,2,2,4,1,5,2,1,2,1,1,3,1,1
14,20,12,0,0,0,3,3,14,14,2,2,2,4,2,4,1,5,4,2,1,5,1,1
34,21,5,0,0,0,3,2,14,14,2,2,2,4,2,5,1,2,3,1,5,5,1,1
10,8,0,0,0,0,1,6,14,14,2,2,2,5,2,4,2,5,4,2,5,5,1,1
5,4,2,0,2,1,1,1,7,12,3,1,1,6,1,5,2,4,4,2,5,3,1,1
5,3,1,0,2,1,1,1,7,12,3,1,1,7,1,6,2,4,4,2,5,3,1,1
7,10,0,0,0,0,3,2,14,14,2,2,2,4,2,3,2,3,4,3,1,4,1,1
23,5,0,0,3,0,5,4,5,5,2,1,1,6,2,6,2,4,4,2,5,4,1,1
31,4,2,0,3,0,4,2,14,14,2,1,1,6,2,6,2,3,3,1,1,5,1,1
9,7,4,0,0,2,2,1,12,12,1,1,2,4,1,4,2,5,4,2,1,3,1,1
30,20,10,0,0,0,1,2,14,14,2,2,2,4,2,5,2,2,4,1,1,6,1,1
9,5,4,0,3,2,3,1,14,1,5,1,1,6,1,6,2,4,4,2,5,5,1,1
15,15,2,0,3,3,1,1,12,12,7,1,1,6,1,4,2,4,4,2,5,6,1,1
10,0,0,0,4,2,1,2,7,7,2,1,1,6,1,5,1,5,4,2,3,7,1,1
40,20,0,0,0,0,3,6,14,14,6,2,2,5,2,5,2,5,4,2,5,5,1,1
15,0,0,0,2,3,3,2,13,13,2,1,1,5,1,4,2,3,4,1,1,4,1,1
7,0,0,0,1,0,4,8,17,14,2,2,1,6,2,6,1,5,4,2,1,5,1,1
11,7,0,0,0,1,5,5,14,14,6,1,2,6,1,7,2,2,3,1,5,5,1,1
13,0,0,0,3,0,2,2,14,14,2,1,1,6,2,6,1,6,3,3,1,2,1,1
9,6,1,0,1,1,3,6,14,14,2,2,1,6,1,6,2,1,2,1,5,5,1,1
5,8,2,0,3,2,2,8,14,14,2,1,1,6,1,7,2,1,2,1,5,5,1,1
12,10,0,0,0,0,1,1,14,14,3,2,2,5,2,5,1,5,4,3,1,5,1,1
18,10,0,0,0,0,3,2,14,14,2,2,2,5,2,5,2,3,4,3,1,2,1,1
25,10,0,0,0,0,3,2,14,14,6,2,2,4,2,5,1,3,4,1,1,3,1,1
22,12,0,0,0,0,1,1,14,14,3,2,2,4,2,5,2,5,4,2,5,5,1,1
16,15,0,0,0,0,1,3,14,14,3,2,2,4,2,3,2,6,2,2,5,2,1,1
28,15,0,0,0,3,3,2,14,14,1,2,2,5,1,5,2,3,4,2,5,4,1,1
44,10,0,0,0,0,1,1,14,14,3,2,2,6,2,6,2,4,4,2,5,4,1,1
5,3,3,0,0,0,2,8,14,1,2,2,2,5,2,5,2,4,3,3,1,2,1,1
30,10,0,0,2,0,2,2,14,14,6,2,1,5,2,6,1,1,3,1,5,5,1,1
6,0,0,0,2,2,2,1,14,11,2,2,1,5,1,4,2,3,4,2,1,7,1,1
9,2,2,0,0,0,3,1,14,14,2,1,2,5,2,4,1,3,4,1,3,4,1,1
49,2,2,0,1,1,4,4,14,14,6,1,1,6,1,7,1,2,3,1,1,5,1,1
16,2,2,0,2,1,2,1,14,14,1,1,1,6,1,6,2,2,4,2,1,3,1,1
10,0,0,0,0,4,3,2,14,14,2,2,2,5,1,5,1,3,4,2,1,5,1,1
8,6,0,0,0,0,4,2,14,14,3,2,2,5,2,5,2,4,4,2,5,5,1,1
20,16,3,0,0,0,3,3,14,14,3,1,2,4,2,5,2,3,4,1,1,3,1,1
15,41,3,0,2,2,5,4,14,14,2,1,1,7,1,6,2,4,4,2,1,5,1,1
10,5,5,0,1,0,7,3,14,14,6,1,1,6,2,5,1,1,2,1,5,5,1,1
16,52,50,1,4,5,2,1,14,14,6,1,1,7,1,7,2,5,3,2,1,2,1,1
39,6,1,0,2,3,3,8,14,14,2,2,1,6,1,6,2,3,3,1,1,5,1,1
20,3,0,0,3,1,2,1,14,14,1,1,1,6,1,6,2,3,4,2,5,4,1,1
24,18,7,0,0,1,1,2,14,14,3,1,2,4,1,6,2,2,4,1,1,2,1,1
29,13,13,0,1,0,1,6,12,12,3,1,1,5,2,5,1,3,4,1,1,6,1,1
8,0,0,0,2,1,3,1,7,7,2,1,1,4,1,4,2,4,4,2,1,7,1,1
6,3,3,0,2,0,1,6,8,16,2,2,1,7,2,6,1,4,4,2,2,7,1,1
3,0,0,0,3,2,3,2,17,7,2,2,1,6,1,6,1,6,3,2,2,4,1,1
9,0,0,0,4,3,3,6,14,14,4,2,1,4,1,5,2,6,3,3,1,3,1,1
0,0,0,0,5,2,2,2,17,4,2,2,1,5,1,4,1,6,3,3,1,4,1,1
