sex,education,income,married,work,age,exhibition_price,museum_price,art_price,traditional_price,theater_price,movie_price,performance_price,total_price
1,4,4,1,1,3,,,,,,,,0
1,3,2,3,1,7,,,,,,,,0
2,2,2,3,3,7,,,,,,,,0
2,4,3,3,1,4,,,,,250000.0,50000.0,,300000
2,3,3,1,6,1,,,,,0.0,0.0,,0
1,4,5,2,1,4,,,,,,200000.0,,200000
2,4,5,2,1,4,,,,,,,,0
1,4,5,2,1,4,,40000.0,,0.0,,50000.0,,90000
2,3,5,2,6,4,,,,40000.0,,50000.0,,90000
1,4,5,2,1,4,,40000.0,,,,200000.0,,240000
2,4,5,2,1,4,,50000.0,,,,200000.0,,250000
1,3,5,1,6,1,,,,,,14900.0,,14900
1,3,5,2,2,5,,,,,,,,0
2,3,5,2,4,5,,,,0.0,300000.0,50000.0,,350000
1,4,5,1,1,3,,,,,,50000.0,150000.0,200000
1,4,5,2,1,4,,,,,200000.0,100000.0,,300000
2,3,5,2,1,4,,,,,150000.0,100000.0,,250000
2,3,5,1,6,1,,,,,,0.0,,0
1,4,3,2,1,3,,50000.0,,,100000.0,50000.0,,200000
2,3,3,2,6,3,,,,,100000.0,150000.0,,250000
1,4,5,2,1,6,,,,,,,,0
2,4,5,2,6,6,,,,,,70000.0,,70000
1,4,5,1,1,3,,,,,,400000.0,,400000
1,4,5,2,1,5,,,,,,120000.0,,120000
2,4,5,2,1,5,,,,,50000.0,120000.0,,170000
2,4,5,1,1,2,,,,,,300000.0,,300000
1,4,4,2,2,3,,,,,,50000.0,,50000
2,4,4,2,4,3,,,,,,10000.0,,10000
1,4,3,2,1,5,,,,,,,,0
2,4,3,2,6,5,,,,,50000.0,0.0,,50000
1,4,4,2,1,3,,,,,100000.0,100000.0,,200000
2,4,4,2,1,3,,,,,0.0,0.0,,0
1,3,3,2,1,3,35000.0,,,,,,,35000
2,4,3,2,6,3,,50000.0,,,250000.0,200000.0,,500000
1,4,4,2,1,4,,,,,,50000.0,,50000
2,4,4,2,1,4,,,,,100000.0,,,100000
1,4,3,2,1,6,,50000.0,,,,,,50000
2,4,3,2,6,6,,0.0,,,,30000.0,,30000
