"문1-1. 문화예술행사 관람실태(직접관람) 횟수_① 문학행사(시화전, 도서전시회, 작가와의 대화)","문1-1. 문화예술행사 관람실태(직접관람) 횟수_② 미술(사진,서예,건축,디자인 포함) 전시회","문1-1. 문화예술행사 관람실태(직접관람) 횟수_③ 서양음악(클래식, 오페라, 서양악기 관련)","문1-1. 문화예술행사 관람실태(직접관람) 횟수_④ 전통예술(국악, 풍물, 민속극)",문1-1. 문화예술행사 관람실태 직접관람 횟수_⑤ 연극,문1-1. 문화예술행사 관람실태 직접관람 횟수_⑥ 뮤지컬,"문1-1. 문화예술행사 관람실태 직접관람 횟수_⑦ 무용(서양무용, 한국무용, 현대무용)",문1-1. 문화예술행사 관람실태 직접관람 횟수_⑧ 영화,"문1-1. 문화예술행사 관람실태 직접관람 횟수_⑨ 대중음악(가요콘서트), 연예",문3-7. 문화예술행사(직접관람)_선택기준,문3-8. 문화예술행사(직접관람)_관람 걸림돌,"문4-1. 매체를 이용한 문화예술행사 관람 횟수_① 문학행사(시화전, 도서전시회, 작가와의 대화)","문4-1. 매체를 이용한 문화예술행사 관람 횟수_② 미술(사진,서예,건축,디자인 포함) 전시회","문4-1. 매체를 이용한 문화예술행사 관람 횟수_③ 서양음악(클래식, 오페라, 서양악기 관련)","문4-1. 매체를 이용한 문화예술행사 관람 횟수_④ 전통예술(국악, 풍물, 민속극)",문4-1. 매체를 이용한 문화예술행사 관람 횟수_⑤ 연극,문4-1. 매체를 이용한 문화예술행사 관람 횟수_⑥ 뮤지컬,"문4-1. 매체를 이용한 문화예술행사 관람 횟수_⑦ 무용(서양무용, 한국무용, 현대무용)",문4-1. 매체를 이용한 문화예술행사 관람 횟수_⑧ 영화,"문4-1. 매체를 이용한 문화예술행사 관람 횟수_⑨ 대중음악(가요콘서트), 연예",문6-1. 문화예술 관련 많이 지출하는 항목_1순위,문6-2. 문화예술 관련 향후 지출을 늘리고 싶은 항목1순위,문12. 문화행사 참여시 가장 큰 어려움,문13. 1년 이내 문화공간에서 개최하는 문화행사 참여 의향,문16. 역사문화유적지 방문 경험 여부,문17. 1년 이내 역사문화유적지 방문 의향,문18. 축제(거리축제 포함) 방문 경험 여부,문19. 1년 이내 축제 참여 의향,문23. 장애등록여부,[분석용] 시도,[분석용] 연령구분(70세이상),[분석용] 성별,[분석용] 혼인상태,[분석용] 가구소득,[분석용] 학력,[분석용] 종사상 지위,"문11-1. 문화예술활동 공간이용 횟수_① 시,군,구민 회관",문11-1. 문화예술활동 공간이용 횟수_② 문예회관,문11-1. 문화예술활동 공간이용 횟수_③ 복지회관(노인복지회관 등),"문11-1. 문화예술활동 공간이용 횟수_④ 청소년회관(수련원, 수련관 등)",문11-1. 문화예술활동 공간이용 횟수_⑤ 문화원,문11-1. 문화예술활동 공간이용 횟수_⑥ 도서관(학교도서관 제외),문11-1. 문화예술활동 공간이용 횟수_⑦ 박물관(미술관 포함),문11-1. 문화예술활동 공간이용 횟수_⑧ 문학관,문11-1. 문화예술활동 공간이용 횟수_⑨ 생활문화센터,문11-1. 문화예술활동 공간이용 횟수_⑩ 문화의 집,문11-1. 문화예술활동 공간이용 횟수_⑪ 대학교 부설 사회문화 교실,"문11-1. 문화예술활동 공간이용 횟수_⑫ 사설문화센터(백화점, 신문사, 방송사 등)",문11-1. 문화예술활동 공간이용 횟수_⑬ 주민자치센터,문11-1. 문화예술활동 공간이용 횟수_⑭ 민간공영장(공공에 포함되지 않은 공영장),"문11-4. 문화예술활동 문화 행사 참석 횟수_① 시,군,구민 회관",문11-4. 문화예술활동 문화 행사 참석 횟수_② 문예회관,문11-4. 문화예술활동 문화 행사 참석 횟수_③ 복지회관(노인복지회관 등),"문11-4. 문화예술활동 문화 행사 참석 횟수_④ 청소년회관(수련원, 수련관 등)",문11-4. 문화예술활동 문화 행사 참석 횟수_⑤ 문화원,문11-4. 문화예술활동 문화 행사 참석 횟수_⑥ 도서관(학교도서관 제외),문11-4. 문화예술활동 문화 행사 참석 횟수_⑦ 박물관(미술관 포함),문11-4. 문화예술활동 문화 행사 참석 횟수_⑧ 문학관,문11-4. 문화예술활동 문화 행사 참석 횟수_⑨ 생활문화센터,문11-4. 문화예술활동 문화 행사 참석 횟수_⑩ 문화의 집,문11-4. 문화예술활동 문화 행사 참석 횟수_⑪ 대학교 부설 사회문화 교실,"문11-4. 문화예술활동 문화 행사 참석 횟수_⑫ 사설문화센터(백화점, 신문사, 방송사 등)",문11-4. 문화예술활동 문화 행사 참석 횟수_⑬ 주민자치센터,문11-4. 문화예술활동 문화 행사 참석 횟수_⑭ 민간공영장(공공에 포함되지 않은 공영장),문14-1. 문화관련 자원봉사 활동 참여 횟수,문16-A. 역사문화유적지 방문 경험 횟수,문18-A. 축제(거리축제 포함) 방문 경험 횟수
0,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,4,40,13,13,3,2,1,6,2,6,1,11,5,2,1,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,5,
0,0,0,0,0,0,0,1,0,2,6,0,0,0,0,0,0,0,1,1,13,10,1,1,1,7,2,7,1,11,5,2,2,7,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,
0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,2,1,9,16,1,1,2,4,2,4,1,11,2,1,1,6,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,20,0,1,2,0,0,0,0,0,0,0,1,1,13,13,4,2,2,4,2,5,1,11,4,2,2,5,4,5,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,
0,0,0,0,2,1,0,5,1,2,1,0,1,1,0,0,0,0,3,2,13,13,4,1,1,5,2,4,1,11,3,2,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,2,
0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,6,1,13,14,1,2,2,6,1,4,1,11,4,1,2,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,2
0,0,0,0,0,0,0,20,0,2,2,0,0,0,0,0,0,0,1,1,13,13,5,2,2,4,2,5,1,11,5,2,3,5,4,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,10,21,12,2,2,1,6,1,6,1,11,5,1,2,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,2,2
0,0,0,0,2,1,0,5,1,1,1,0,0,0,0,0,0,0,2,1,13,14,2,1,1,5,1,5,1,11,4,2,2,4,4,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,2,2
0,0,0,0,0,0,0,3,1,3,2,0,0,0,0,0,0,0,2,1,16,14,2,1,2,5,2,5,1,11,5,2,2,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,5,0,6,2,0,0,0,0,0,0,0,2,1,13,13,2,2,2,5,1,5,1,11,3,1,1,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,2
0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,2,5,1,15,2,1,2,6,2,5,1,11,6,1,3,4,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,,,
0,0,0,0,0,0,0,14,0,3,2,0,0,0,0,0,0,0,1,1,13,13,2,2,2,3,2,4,1,11,4,1,2,5,4,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,
0,0,0,0,0,0,0,2,1,4,1,0,0,0,0,0,0,0,5,1,6,11,2,2,2,6,2,6,1,11,5,1,2,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,2,2,13,13,1,2,2,4,2,5,1,11,5,2,2,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,
0,0,0,0,0,0,0,30,0,1,1,0,0,0,0,0,0,0,1,1,13,9,3,1,1,7,1,7,1,11,5,1,2,7,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,2
0,0,0,0,0,0,0,5,0,1,3,0,0,0,0,0,0,0,3,0,13,13,1,1,1,5,2,5,1,11,5,2,3,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,2,
0,0,0,0,0,0,0,6,2,1,1,0,2,0,0,0,0,0,4,3,13,13,2,1,1,5,2,5,1,11,2,1,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,1,
0,0,0,0,0,0,0,6,1,1,1,0,0,0,0,0,0,0,4,2,13,16,1,1,1,7,1,7,1,11,3,2,2,5,3,1,1,0,0,0,0,2,0,0,0,0,0,3,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,7,,2,3
0,0,0,0,0,1,0,3,0,2,1,0,0,0,0,0,0,0,3,2,14,14,1,1,2,4,2,4,1,11,3,1,1,5,4,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,1,0,8,1,7,2,0,0,0,0,0,1,0,4,2,13,13,2,1,1,5,2,5,1,11,2,2,1,7,4,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,2,
0,0,0,0,0,2,0,0,1,1,2,0,0,0,0,0,0,0,3,1,21,11,2,1,1,6,2,3,1,11,4,1,2,7,4,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,
0,0,0,0,1,0,0,5,0,5,6,1,0,0,0,0,0,0,0,0,13,1,1,1,1,3,1,6,1,11,4,2,2,5,3,5,0,0,8,0,0,1,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,1,3
0,0,0,0,1,0,0,7,1,2,1,0,0,1,0,0,0,0,4,1,13,13,1,2,2,3,2,4,1,11,2,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
0,0,0,0,2,0,0,8,6,2,1,0,0,0,0,0,0,0,20,30,13,1,1,1,1,7,2,7,1,11,2,2,1,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,2,
0,0,0,0,2,0,0,10,2,2,1,2,0,0,0,3,0,0,10,20,13,1,6,1,1,7,1,7,1,11,4,2,2,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,2,2
0,0,1,0,0,0,0,10,0,2,1,0,0,1,0,0,0,0,5,1,13,13,1,1,2,3,1,6,1,11,2,1,1,7,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,2
0,1,0,0,0,2,0,5,0,1,1,0,0,0,0,0,1,0,2,0,14,14,5,2,2,4,2,4,1,11,2,1,2,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
0,1,0,0,1,2,0,8,0,8,8,1,1,0,0,0,0,0,0,0,13,1,1,1,2,4,1,5,2,11,4,1,2,6,4,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,2
0,1,0,0,0,0,0,4,0,1,6,0,0,0,0,0,0,0,3,1,13,13,3,1,1,7,1,7,1,11,3,2,2,4,4,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,,,,,,,,,,0,,3,1,1
0,1,2,0,0,3,0,1,0,4,1,0,0,1,3,0,0,0,2,1,11,19,8,1,1,6,1,6,1,11,4,2,2,6,4,5,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,,4,3
0,2,0,1,0,0,0,7,0,6,6,0,0,0,1,0,0,0,2,0,13,12,3,1,1,6,1,3,1,11,3,2,2,5,3,1,0,0,0,0,0,10,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,3,1
0,2,0,1,0,0,0,7,0,6,6,0,0,0,1,0,0,0,2,0,13,12,3,1,1,6,1,3,1,11,3,2,2,5,3,1,0,0,0,0,0,10,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,3,1
0,2,0,0,1,2,0,7,0,1,1,0,0,0,0,0,0,0,2,1,13,14,1,1,2,3,2,3,1,11,2,2,1,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,2,0,1,0,0,0,0,0,3,8,0,1,1,0,0,0,2,0,0,3,10,5,1,1,7,2,1,1,11,4,2,2,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,
0,0,0,0,0,0,0,22,0,2,2,0,0,0,0,0,0,0,0,10,13,13,2,2,2,5,2,5,1,11,5,2,2,4,3,5,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,2,0,9,1,0,0,0,12,0,0,0,24,0,6,7,1,1,1,7,1,6,1,11,2,1,1,3,4,1,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1
