문1-1.문화예술행사관람실태직접관람횟수_총합,문3-7.문화예술행사(직접관람)_선택기준,문3-8.문화예술행사(직접관람)_관람걸림돌,문4-1.매체를이용한문화예술행사관람횟수_총합,문7-1.문화예술관련많이지출하는항목_1순위,문7-2.문화예술관련향후지출을늘리고싶은항목_1순위,문13.문화행사참여시가장큰어려움,문14.1년이내문화공간에서개최하는문화행사참여의향,문18.역사문화유적지방문경험여부,문19.1년이내역사문화유적지방문의향,문20.축제(거리축제포함)방문경험여부,문21.1년이내축제참여의향,성별,연령,학력,동거가구원수,혼인상태,가구주여부,종사상지위,가구소득,시도,장애등록여부,문12-1.문화예술활동공간이용횟수_총합,문12-4.문화예술활동문화행사참석횟수_총합,문15-1.문화관련자원봉사활동참여횟수,문18-A.역사문화유적지방문경험횟수,문20-A.축제(거리축제포함)방문경험횟수
0,2,2,120,28,17,2,1,1,6,2,5,1,7,1,2,3,1,1,4,3,1,2,0,,1,
2,9,8,20,28,28,7,1,1,6,1,6,2,7,1,2,2,2,3,2,12,1,40,10,,1,1
0,2,2,,28,17,3,2,2,4,2,4,2,4,3,2,3,1,5,1,6,1,1,0,,,
2,2,1,60,1,1,1,1,1,6,2,6,2,4,3,3,2,2,5,6,3,1,,,,4,
3,1,6,42,17,17,6,1,1,6,1,6,2,3,4,3,2,2,5,5,1,1,,,,2,1
2,9,6,32,28,15,6,1,1,6,1,6,2,6,3,2,2,2,5,4,1,1,,,,5,1
10,5,2,30,17,15,2,1,2,5,1,6,1,4,4,1,1,1,1,5,1,1,10,0,,,2
0,9,6,5,28,17,2,1,2,4,2,4,1,6,3,3,2,1,2,6,1,1,,,,,
0,9,3,8,28,17,2,1,2,4,2,5,1,5,3,3,2,1,3,6,1,1,,,,,
8,1,2,30,17,17,2,1,2,4,1,6,1,2,4,2,1,2,1,5,1,1,8,0,,,1
0,9,3,12,28,17,6,1,2,4,2,5,1,6,3,3,2,1,5,5,1,1,,,,,
0,5,3,15,28,17,3,1,2,4,1,6,1,7,3,3,2,1,5,5,1,1,,,,,1
2,3,3,33,17,17,3,1,2,4,2,4,1,1,3,3,1,2,5,6,1,1,2,0,,,
65,1,9,70,17,11,9,1,1,6,1,6,1,5,4,3,2,1,1,7,1,1,64,1,,5,3
3,1,2,40,17,17,3,1,1,6,1,5,1,5,4,3,2,1,1,5,3,1,1,0,,3,1
5,9,3,42,17,17,2,1,2,3,2,4,1,1,3,3,1,2,5,5,1,1,5,0,,,
8,3,2,20,17,28,2,1,2,4,1,6,2,2,4,2,1,2,1,5,1,1,8,0,,,2
0,1,2,10,28,17,6,1,2,4,2,5,1,6,3,3,2,1,5,5,1,1,,,,,
5,1,2,21,17,17,2,1,1,6,1,6,1,3,4,3,2,1,1,4,1,1,5,0,,1,1
0,9,7,10,28,17,3,1,2,4,2,5,1,7,3,2,2,1,5,3,1,1,,,,,
1,2,6,10,18,15,6,1,2,5,1,6,2,6,3,2,2,2,3,5,1,1,1,0,,,1
9,1,2,40,17,18,9,1,2,4,1,6,2,3,4,3,2,2,1,6,1,1,9,0,,,1
0,1,2,10,8,17,2,1,2,4,2,4,1,3,3,1,1,1,3,6,1,1,,,,,
3,1,6,10,17,18,6,1,1,6,1,6,2,5,3,3,2,2,3,6,1,1,3,0,,2,1
7,9,1,27,18,18,9,1,2,4,1,6,2,1,1,3,1,2,5,5,1,1,7,0,,,1
0,1,3,40,1,17,2,1,1,5,2,5,2,3,3,3,2,2,5,4,3,1,2,0,,3,
0,9,6,10,28,17,6,1,2,4,2,5,2,6,3,1,3,1,1,3,1,1,,,,,
7,1,2,5,15,18,3,1,1,6,1,6,2,5,3,2,2,2,3,5,1,1,7,0,,2,1
19,1,9,30,17,17,9,1,2,6,1,6,2,4,4,2,2,2,1,6,1,1,4,0,,,2
0,1,6,1,1,1,6,1,2,4,2,3,1,1,2,3,1,2,5,5,4,1,,,,,
21,1,6,10,17,17,6,1,2,4,2,4,1,2,4,3,1,2,5,5,4,1,12,0,,,
4,1,3,20,17,17,2,1,2,3,1,6,1,2,3,3,1,2,5,4,4,1,,,,,1
2,5,4,48,17,17,2,1,2,4,2,4,2,2,4,3,1,2,1,5,4,1,2,0,,,
1,1,4,10,1,15,7,1,2,6,1,7,2,5,4,3,2,2,5,4,4,1,108,10,,,1
3,1,2,96,14,14,1,1,1,7,2,6,2,4,3,3,2,2,5,7,4,1,13,0,,2,
5,2,1,,17,17,3,1,2,6,1,6,1,1,3,3,1,2,5,7,4,1,,,,,1
3,8,3,60,17,17,2,1,1,5,2,5,1,4,4,3,2,1,1,3,3,1,1,0,,2,
0,7,8,3,28,16,8,1,2,4,2,6,2,2,3,3,1,2,1,4,4,1,,,,,
5,5,2,12,17,17,2,1,1,6,2,6,2,3,4,3,2,2,5,6,4,2,2,2,,1,
0,9,2,1,1,1,2,1,2,4,2,5,2,3,4,3,2,2,5,4,4,1,3,0,,,
5,1,8,100,17,17,4,1,2,2,1,6,2,4,3,3,3,1,1,2,4,1,,,,,1
13,9,1,120,17,17,3,1,1,6,2,5,1,5,3,3,2,1,3,5,4,1,2,2,,1,
0,8,2,100,28,11,2,1,2,6,2,5,1,3,4,1,1,1,1,5,4,1,5,0,,,
0,9,7,,28,28,7,2,2,3,2,3,2,7,1,1,3,1,5,1,4,1,,,,,
0,5,8,120,28,17,7,2,2,2,2,5,1,6,4,2,2,1,5,1,4,1,1,1,,,
2,1,2,4,1,17,8,1,1,4,2,4,1,7,3,2,2,1,5,1,4,1,2,0,,1,
0,1,2,,1,18,2,2,2,3,2,3,2,4,4,3,2,2,1,6,4,1,,,,,
1,1,1,30,1,1,3,1,1,4,2,4,1,1,1,3,1,2,5,3,3,1,,,,1,
12,5,4,7,1,17,4,1,1,7,1,7,2,4,3,3,2,2,1,4,4,1,14,4,,2,5
0,8,2,50,1,18,2,2,2,3,1,6,1,5,4,3,2,1,1,4,4,3,5,0,,,1
1,1,1,5,17,17,1,1,1,4,2,5,2,5,2,1,1,1,1,2,4,1,2,0,,1,
0,4,1,,28,17,7,2,2,2,2,3,2,6,1,2,3,2,5,2,4,1,2,0,,,
4,1,1,12,1,17,1,1,1,6,1,6,2,3,3,3,2,2,1,5,4,1,59,11,,2,2
40,1,1,10,12,15,3,1,1,7,2,6,2,3,4,3,2,2,5,5,4,1,41,40,,2,
0,2,2,,28,28,2,2,2,6,2,6,2,6,2,2,2,2,5,1,4,1,1,0,,,
0,1,2,,28,18,2,1,2,2,2,4,2,6,1,3,2,2,1,4,4,2,,,,,
3,5,8,4,1,1,8,1,2,3,2,4,1,2,4,2,2,1,1,3,4,1,,,,,
1,1,3,20,18,18,3,1,1,6,2,6,1,5,4,3,2,1,1,6,4,1,,,,1,
0,1,2,50,28,17,2,1,1,5,2,3,2,5,2,3,2,2,3,5,3,1,1,0,,1,
2,2,4,12,1,17,2,1,2,6,2,6,1,5,4,2,1,1,1,3,4,1,3,0,,,
1,1,2,6,17,17,2,1,2,4,2,4,1,3,3,1,1,1,1,3,4,1,,,,,
4,1,2,,15,18,2,1,1,6,2,6,1,4,4,3,2,1,2,6,4,1,3,3,,1,
0,1,2,32,28,17,2,2,2,5,2,5,2,6,3,2,2,2,3,4,1,1,,,,,
0,1,3,35,28,17,1,1,2,5,2,5,1,6,3,2,2,1,1,3,1,1,,,,,
6,1,2,20,15,15,1,2,1,6,1,4,2,5,3,3,2,2,1,4,9,1,,,,2,1
3,1,3,10,8,8,1,2,2,4,2,4,1,3,3,2,1,1,1,3,9,1,31,0,,,
0,1,1,43,28,13,1,2,1,5,2,5,2,7,2,2,2,2,5,2,1,1,,,,2,
44,1,9,6,15,15,9,1,1,6,1,6,2,4,4,3,2,2,1,6,9,1,66,17,,2,1
9,1,4,30,17,14,6,1,1,5,1,5,2,3,3,3,2,2,1,7,9,1,22,0,,20,2
4,1,1,47,17,17,1,1,1,6,2,5,1,5,4,3,2,1,3,7,3,1,3,2,,2,
4,1,6,30,8,8,4,1,2,6,1,7,1,1,2,3,1,2,5,6,9,1,10,9,,,3
0,1,2,5,8,11,2,2,1,5,1,6,1,5,4,3,2,1,3,6,1,1,,,,2,1
3,1,1,55,1,1,9,1,2,3,2,3,2,3,4,3,2,2,3,5,4,2,,,,,
10,1,6,24,1,1,3,2,2,4,2,4,2,5,3,3,2,2,5,3,4,2,,,,,
1,2,1,40,17,17,2,1,2,2,2,4,2,1,2,3,1,2,5,4,4,1,,,,,
0,2,2,19,28,17,2,2,1,5,1,6,1,5,4,3,2,1,1,7,4,3,,,,1,1
9,5,4,30,17,18,1,1,1,5,1,5,2,6,3,3,2,2,3,3,9,2,16,3,,10,1
3,2,2,5,17,17,2,1,2,7,2,6,2,5,4,3,2,2,3,4,9,1,,,,,
12,1,2,12,17,17,2,1,1,5,2,5,2,5,4,3,2,2,3,4,9,1,18,10,,1,
0,1,7,,28,15,7,2,2,5,2,6,2,6,3,3,2,2,5,5,9,1,,,,,
0,1,2,60,1,17,2,1,1,5,2,5,1,3,4,3,1,2,3,6,3,1,,,,1,
1,1,7,2,17,17,3,2,2,4,2,3,1,4,3,3,1,2,1,6,9,1,1,1,,,
6,3,3,3,17,17,3,2,2,6,1,6,1,2,4,3,1,2,1,6,9,1,6,6,,,3
8,2,3,7,17,18,1,1,1,4,1,6,2,1,3,3,1,2,5,5,9,1,8,8,,2,3
8,3,1,,15,15,6,2,2,5,2,5,2,3,4,1,1,1,1,3,9,1,8,8,,,
0,2,7,1,28,18,3,2,2,5,2,6,2,7,2,1,3,1,5,1,9,1,,,,,
4,2,3,5,17,17,3,2,2,5,1,6,2,3,4,3,1,2,1,6,9,1,4,4,,,2
0,3,7,3,28,17,6,2,2,6,2,6,1,5,3,2,2,1,3,4,9,1,,,,,
0,1,1,2,28,17,2,2,2,6,2,6,1,6,3,3,2,1,3,5,9,1,,,,,
6,9,1,3,17,17,3,2,1,6,1,6,2,3,4,3,2,2,1,4,9,1,6,6,,3,2
0,3,7,3,28,17,3,2,2,4,2,3,1,4,3,1,1,1,1,3,9,1,,,,,
0,1,6,35,28,17,1,1,1,5,2,4,2,5,3,1,3,1,5,1,3,1,,,,2,
12,9,3,4,17,17,3,2,2,4,1,5,1,1,3,3,1,2,5,5,9,1,12,12,,,2
4,2,2,2,17,17,3,2,2,5,2,5,2,3,4,3,1,2,1,6,9,1,4,4,,,
7,3,3,3,17,17,3,1,2,5,2,5,1,3,4,1,1,1,1,4,9,1,7,7,,,
5,3,7,1,17,17,3,2,2,3,1,6,2,2,4,3,1,2,1,6,9,1,5,5,,,1
0,1,7,1,28,17,6,2,2,4,2,5,2,6,2,2,2,2,3,4,9,1,,,,,
0,1,6,,28,17,3,2,2,3,2,4,1,5,3,3,2,1,2,5,9,1,,,,,
2,1,7,6,17,17,6,1,2,3,2,4,1,3,4,1,1,1,1,3,9,1,2,2,,,
5,3,3,1,17,17,3,2,2,6,1,5,1,3,3,2,2,1,3,5,9,1,5,5,,,3
7,3,3,,17,17,3,2,1,6,1,5,1,3,4,3,2,1,1,5,9,1,7,7,,3,2
7,1,1,7,17,17,3,1,2,5,2,4,2,2,4,2,1,2,1,4,1,1,7,7,,,
0,9,3,90,28,13,3,2,1,6,2,4,2,7,1,3,2,2,5,7,3,1,,,,5,
5,3,3,3,17,15,3,1,1,5,1,7,1,3,4,3,1,2,1,6,1,1,5,5,,1,3
3,1,1,2,17,17,3,1,1,6,1,6,1,1,1,3,1,2,5,6,1,1,3,3,,2,1
4,4,1,1,17,17,6,1,1,6,1,7,2,4,4,3,2,2,3,5,1,1,5,5,,3,2
5,1,1,6,17,15,3,1,1,7,1,7,2,4,4,3,2,2,1,4,1,1,5,5,,4,2
0,3,2,1,28,1,1,1,2,4,2,5,2,5,3,3,2,2,5,6,1,1,,,,,
